Algorithm,Case,Size,Trial,Time_sec
BubbleSort,Best,100,1,0.000004
BubbleSort,Best,100,2,0.000003
SelectionSort,Best,100,1,0.000083
SelectionSort,Best,100,2,0.000079
InsertionSort,Best,100,1,0.000005
InsertionSort,Best,100,2,0.000004
MergeSort,Best,100,1,0.000066
MergeSort,Best,100,2,0.000046
QuickSort,Best,100,1,0.000211
QuickSort,Best,100,2,0.000201
HeapSort,Best,100,1,0.000069
HeapSort,Best,100,2,0.000069
BubbleSort,Average,100,1,0.000180
BubbleSort,Average,100,2,0.000176
SelectionSort,Average,100,1,0.000086
SelectionSort,Average,100,2,0.000085
InsertionSort,Average,100,1,0.000079
InsertionSort,Average,100,2,0.000069
MergeSort,Average,100,1,0.000060
MergeSort,Average,100,2,0.000056
QuickSort,Average,100,1,0.000035
QuickSort,Average,100,2,0.000031
HeapSort,Average,100,1,0.000062
HeapSort,Average,100,2,0.000061
BubbleSort,Best,200,1,0.000004
BubbleSort,Best,200,2,0.000004
SelectionSort,Best,200,1,0.000311
SelectionSort,Best,200,2,0.000301
InsertionSort,Best,200,1,0.000007
InsertionSort,Best,200,2,0.000007
MergeSort,Best,200,1,0.000102
MergeSort,Best,200,2,0.000100
QuickSort,Best,200,1,0.000813
QuickSort,Best,200,2,0.000803
HeapSort,Best,200,1,0.000154
HeapSort,Best,200,2,0.000150
BubbleSort,Average,200,1,0.000698
BubbleSort,Average,200,2,0.000686
SelectionSort,Average,200,1,0.000317
SelectionSort,Average,200,2,0.000319
InsertionSort,Average,200,1,0.000299
InsertionSort,Average,200,2,0.000281
MergeSort,Average,200,1,0.000123
MergeSort,Average,200,2,0.000122
QuickSort,Average,200,1,0.000073
QuickSort,Average,200,2,0.000065
HeapSort,Average,200,1,0.000155
HeapSort,Average,200,2,0.000140
