Size,Trial,GreedyCount,OptimalCount,QualityPct
5,1,4,4,100.00
5,2,3,3,100.00
5,3,4,4,100.00
5,4,3,3,100.00
5,5,5,5,100.00
5,6,5,5,100.00
5,7,5,5,100.00
5,8,4,4,100.00
5,9,4,4,100.00
5,10,3,3,100.00
6,1,4,4,100.00
6,2,5,5,100.00
6,3,4,4,100.00
6,4,4,4,100.00
6,5,4,4,100.00
6,6,6,6,100.00
6,7,4,4,100.00
6,8,5,5,100.00
6,9,5,5,100.00
6,10,4,4,100.00
7,1,7,7,100.00
7,2,5,5,100.00
7,3,3,3,100.00
7,4,6,6,100.00
7,5,5,5,100.00
7,6,5,5,100.00
7,7,3,3,100.00
7,8,6,6,100.00
7,9,5,5,100.00
7,10,4,4,100.00
8,1,5,5,100.00
8,2,5,5,100.00
8,3,5,5,100.00
8,4,6,6,100.00
8,5,6,6,100.00
8,6,7,7,100.00
8,7,6,6,100.00
8,8,5,5,100.00
8,9,6,6,100.00
8,10,7,7,100.00
9,1,7,7,100.00
9,2,8,8,100.00
9,3,6,6,100.00
9,4,6,6,100.00
9,5,7,7,100.00
9,6,7,7,100.00
9,7,7,7,100.00
9,8,4,4,100.00
9,9,7,7,100.00
9,10,7,7,100.00
10,1,8,8,100.00
10,2,9,9,100.00
10,3,7,7,100.00
10,4,6,6,100.00
10,5,8,8,100.00
10,6,6,6,100.00
10,7,8,8,100.00
10,8,7,7,100.00
10,9,6,6,100.00
10,10,9,9,100.00
11,1,6,6,100.00
11,2,8,8,100.00
11,3,7,7,100.00
11,4,7,7,100.00
11,5,7,7,100.00
11,6,9,9,100.00
11,7,6,6,100.00
11,8,7,7,100.00
11,9,7,7,100.00
11,10,7,7,100.00
12,1,9,9,100.00
12,2,7,7,100.00
12,3,10,10,100.00
12,4,8,8,100.00
12,5,8,8,100.00
12,6,8,8,100.00
12,7,7,7,100.00
12,8,8,8,100.00
12,9,7,7,100.00
12,10,7,7,100.00
13,1,6,6,100.00
13,2,7,7,100.00
13,3,8,8,100.00
13,4,8,8,100.00
13,5,9,9,100.00
13,6,8,8,100.00
13,7,9,9,100.00
13,8,8,8,100.00
13,9,7,7,100.00
13,10,7,7,100.00
14,1,8,8,100.00
14,2,9,9,100.00
14,3,9,9,100.00
14,4,10,10,100.00
14,5,9,9,100.00
14,6,10,10,100.00
14,7,7,7,100.00
14,8,10,10,100.00
14,9,9,9,100.00
14,10,9,9,100.00
15,1,10,10,100.00
15,2,9,9,100.00
15,3,8,8,100.00
15,4,9,9,100.00
15,5,7,7,100.00
15,6,8,8,100.00
15,7,9,9,100.00
15,8,10,10,100.00
15,9,9,9,100.00
15,10,9,9,100.00
16,1,10,10,100.00
16,2,9,9,100.00
16,3,10,10,100.00
16,4,10,10,100.00
16,5,8,8,100.00
16,6,7,7,100.00
16,7,9,9,100.00
16,8,6,6,100.00
16,9,10,10,100.00
16,10,9,9,100.00
18,1,10,10,100.00
18,2,11,11,100.00
18,3,7,7,100.00
18,4,9,9,100.00
18,5,11,11,100.00
18,6,10,10,100.00
18,7,9,9,100.00
18,8,9,9,100.00
18,9,11,11,100.00
18,10,10,10,100.00
20,1,9,9,100.00
20,2,11,11,100.00
20,3,11,11,100.00
20,4,10,10,100.00
20,5,9,9,100.00
20,6,9,9,100.00
20,7,10,10,100.00
20,8,11,11,100.00
20,9,9,9,100.00
20,10,11,11,100.00
22,1,9,9,100.00
22,2,13,13,100.00
22,3,11,11,100.00
22,4,11,11,100.00
22,5,11,11,100.00
22,6,12,12,100.00
22,7,11,11,100.00
22,8,9,9,100.00
22,9,12,12,100.00
22,10,12,12,100.00
