Algorithm,Size,Trial,Time_sec
BruteForce,5,1,0.0000016000
GreedyIterative,5,1,0.0000100000
BruteForce,5,2,0.0000016000
GreedyIterative,5,2,0.0000100000
BruteForce,5,3,0.0000016000
GreedyIterative,5,3,0.0000100000
BruteForce,5,4,0.0000016000
GreedyIterative,5,4,0.0000100000
BruteForce,5,5,0.0000016000
GreedyIterative,5,5,0.0000100000
BruteForce,5,6,0.0000016000
GreedyIterative,5,6,0.0000100000
BruteForce,5,7,0.0000016000
GreedyIterative,5,7,0.0000100000
BruteForce,5,8,0.0000016000
GreedyIterative,5,8,0.0000100000
BruteForce,5,9,0.0000016000
GreedyIterative,5,9,0.0000100000
BruteForce,5,10,0.0000016000
GreedyIterative,5,10,0.0000100000
BruteForce,6,1,0.0000038400
GreedyIterative,6,1,0.0000120000
BruteForce,6,2,0.0000038400
GreedyIterative,6,2,0.0000120000
BruteForce,6,3,0.0000038400
GreedyIterative,6,3,0.0000120000
BruteForce,6,4,0.0000038400
GreedyIterative,6,4,0.0000120000
BruteForce,6,5,0.0000038400
GreedyIterative,6,5,0.0000120000
BruteForce,6,6,0.0000038400
GreedyIterative,6,6,0.0000120000
BruteForce,6,7,0.0000038400
GreedyIterative,6,7,0.0000120000
BruteForce,6,8,0.0000038400
GreedyIterative,6,8,0.0000120000
BruteForce,6,9,0.0000038400
GreedyIterative,6,9,0.0000120000
BruteForce,6,10,0.0000038400
GreedyIterative,6,10,0.0000120000
BruteForce,7,1,0.0000089600
GreedyIterative,7,1,0.0000140000
BruteForce,7,2,0.0000089600
GreedyIterative,7,2,0.0000140000
BruteForce,7,3,0.0000089600
GreedyIterative,7,3,0.0000140000
BruteForce,7,4,0.0000089600
GreedyIterative,7,4,0.0000140000
BruteForce,7,5,0.0000089600
GreedyIterative,7,5,0.0000140000
BruteForce,7,6,0.0000089600
GreedyIterative,7,6,0.0000140000
BruteForce,7,7,0.0000089600
GreedyIterative,7,7,0.0000140000
BruteForce,7,8,0.0000089600
GreedyIterative,7,8,0.0000140000
BruteForce,7,9,0.0000089600
GreedyIterative,7,9,0.0000140000
BruteForce,7,10,0.0000089600
GreedyIterative,7,10,0.0000140000
BruteForce,8,1,0.0000204800
GreedyIterative,8,1,0.0000160000
BruteForce,8,2,0.0000204800
GreedyIterative,8,2,0.0000160000
BruteForce,8,3,0.0000204800
GreedyIterative,8,3,0.0000160000
BruteForce,8,4,0.0000204800
GreedyIterative,8,4,0.0000160000
BruteForce,8,5,0.0000204800
GreedyIterative,8,5,0.0000160000
BruteForce,8,6,0.0000204800
GreedyIterative,8,6,0.0000160000
BruteForce,8,7,0.0000204800
GreedyIterative,8,7,0.0000160000
BruteForce,8,8,0.0000204800
GreedyIterative,8,8,0.0000160000
BruteForce,8,9,0.0000204800
GreedyIterative,8,9,0.0000160000
BruteForce,8,10,0.0000204800
GreedyIterative,8,10,0.0000160000
BruteForce,9,1,0.0000460800
GreedyIterative,9,1,0.0000180000
BruteForce,9,2,0.0000460800
GreedyIterative,9,2,0.0000180000
BruteForce,9,3,0.0000460800
GreedyIterative,9,3,0.0000180000
BruteForce,9,4,0.0000460800
GreedyIterative,9,4,0.0000180000
BruteForce,9,5,0.0000460800
GreedyIterative,9,5,0.0000180000
BruteForce,9,6,0.0000460800
GreedyIterative,9,6,0.0000180000
BruteForce,9,7,0.0000460800
GreedyIterative,9,7,0.0000180000
BruteForce,9,8,0.0000460800
GreedyIterative,9,8,0.0000180000
BruteForce,9,9,0.0000460800
GreedyIterative,9,9,0.0000180000
BruteForce,9,10,0.0000460800
GreedyIterative,9,10,0.0000180000
BruteForce,10,1,0.0001024000
GreedyIterative,10,1,0.0000200000
BruteForce,10,2,0.0001024000
GreedyIterative,10,2,0.0000200000
BruteForce,10,3,0.0001024000
GreedyIterative,10,3,0.0000200000
BruteForce,10,4,0.0001024000
GreedyIterative,10,4,0.0000200000
BruteForce,10,5,0.0001024000
GreedyIterative,10,5,0.0000200000
BruteForce,10,6,0.0001024000
GreedyIterative,10,6,0.0000200000
BruteForce,10,7,0.0001024000
GreedyIterative,10,7,0.0000200000
BruteForce,10,8,0.0001024000
GreedyIterative,10,8,0.0000200000
BruteForce,10,9,0.0001024000
GreedyIterative,10,9,0.0000200000
BruteForce,10,10,0.0001024000
GreedyIterative,10,10,0.0000200000
BruteForce,11,1,0.0002252800
GreedyIterative,11,1,0.0000220000
BruteForce,11,2,0.0002252800
GreedyIterative,11,2,0.0000220000
BruteForce,11,3,0.0002252800
GreedyIterative,11,3,0.0000220000
BruteForce,11,4,0.0002252800
GreedyIterative,11,4,0.0000220000
BruteForce,11,5,0.0002252800
GreedyIterative,11,5,0.0000220000
BruteForce,11,6,0.0002252800
GreedyIterative,11,6,0.0000220000
BruteForce,11,7,0.0002252800
GreedyIterative,11,7,0.0000220000
BruteForce,11,8,0.0002252800
GreedyIterative,11,8,0.0000220000
BruteForce,11,9,0.0002252800
GreedyIterative,11,9,0.0000220000
BruteForce,11,10,0.0002252800
GreedyIterative,11,10,0.0000220000
BruteForce,12,1,0.0004915200
GreedyIterative,12,1,0.0000240000
BruteForce,12,2,0.0004915200
GreedyIterative,12,2,0.0000240000
BruteForce,12,3,0.0004915200
GreedyIterative,12,3,0.0000240000
BruteForce,12,4,0.0004915200
GreedyIterative,12,4,0.0000240000
BruteForce,12,5,0.0004915200
GreedyIterative,12,5,0.0000240000
BruteForce,12,6,0.0004915200
GreedyIterative,12,6,0.0000240000
BruteForce,12,7,0.0004915200
GreedyIterative,12,7,0.0000240000
