Size,Trial,GreedyValue,OptimalValue,QualityPct
5,1,158,158,100.00
5,2,137,137,100.00
5,3,73,73,100.00
5,4,152,158,96.20
5,5,150,150,100.00
6,1,169,169,100.00
6,2,137,159,86.16
6,3,213,213,100.00
6,4,187,196,95.41
6,5,160,160,100.00
7,1,337,337,100.00
7,2,289,289,100.00
7,3,162,162,100.00
7,4,278,298,93.29
7,5,124,124,100.00
8,1,256,256,100.00
8,2,203,203,100.00
8,3,302,302,100.00
8,4,222,222,100.00
8,5,106,112,94.64
9,1,311,311,100.00
9,2,222,234,94.87
9,3,306,313,97.76
9,4,385,385,100.00
9,5,285,285,100.00
10,1,282,282,100.00
10,2,220,233,94.42
10,3,333,344,96.80
10,4,276,285,96.84
10,5,333,352,94.60
11,1,378,378,100.00
11,2,390,390,100.00
11,3,337,342,98.54
11,4,495,516,95.93
11,5,403,403,100.00
12,1,479,479,100.00
12,2,402,402,100.00
12,3,456,480,95.00
12,4,413,414,99.76
12,5,389,391,99.49
13,1,401,402,99.75
13,2,386,402,96.02
13,3,583,583,100.00
13,4,447,447,100.00
13,5,464,464,100.00
14,1,500,517,96.71
14,2,436,436,100.00
14,3,390,390,100.00
14,4,511,537,95.16
14,5,438,457,95.84
15,1,454,482,94.19
15,2,477,477,100.00
15,3,382,395,96.71
15,4,440,440,100.00
15,5,487,511,95.30
16,1,596,610,97.70
16,2,544,544,100.00
16,3,751,763,98.43
16,4,646,646,100.00
16,5,612,615,99.51
18,1,651,665,97.89
18,2,661,664,99.55
18,3,579,579,100.00
18,4,564,580,97.24
18,5,647,647,100.00
20,1,771,780,98.85
20,2,655,655,100.00
20,3,644,667,96.55
20,4,693,700,99.00
20,5,602,602,100.00
22,1,651,654,99.54
22,2,814,832,97.84
22,3,779,795,97.99
22,4,642,642,100.00
22,5,725,726,99.86
