Algorithm,Size,Trial,Time_sec
GreedyRatio,5,1,0.0000142030
BruteForce,5,1,0.0000167070
GreedyRatio,5,2,0.0000065060
BruteForce,5,2,0.0000129470
GreedyRatio,5,3,0.0000032880
BruteForce,5,3,0.0000102660
GreedyRatio,5,4,0.0000029630
BruteForce,5,4,0.0000127530
GreedyRatio,5,5,0.0000032390
BruteForce,5,5,0.0000133900
GreedyRatio,6,1,0.0000034100
BruteForce,6,1,0.0000263130
GreedyRatio,6,2,0.0000031500
BruteForce,6,2,0.0000269920
GreedyRatio,6,3,0.0000030230
BruteForce,6,3,0.0000264750
GreedyRatio,6,4,0.0000030250
BruteForce,6,4,0.0000266990
GreedyRatio,6,5,0.0000029180
BruteForce,6,5,0.0000239930
GreedyRatio,7,1,0.0000032810
BruteForce,7,1,0.0000500760
GreedyRatio,7,2,0.0000032060
BruteForce,7,2,0.0000459100
GreedyRatio,7,3,0.0000033160
BruteForce,7,3,0.0000476540
GreedyRatio,7,4,0.0000032970
BruteForce,7,4,0.0000514330
GreedyRatio,7,5,0.0000032270
BruteForce,7,5,0.0000470800
GreedyRatio,8,1,0.0000033970
BruteForce,8,1,0.0001194510
GreedyRatio,8,2,0.0000032490
BruteForce,8,2,0.0000994470
GreedyRatio,8,3,0.0000032300
BruteForce,8,3,0.0001029220
GreedyRatio,8,4,0.0000031510
BruteForce,8,4,0.0001007490
GreedyRatio,8,5,0.0000032720
BruteForce,8,5,0.0000972610
GreedyRatio,9,1,0.0000034830
BruteForce,9,1,0.0002296360
GreedyRatio,9,2,0.0000033870
BruteForce,9,2,0.0002164260
GreedyRatio,9,3,0.0000035930
BruteForce,9,3,0.0002283860
GreedyRatio,9,4,0.0000035320
BruteForce,9,4,0.0002203590
GreedyRatio,9,5,0.0000033980
BruteForce,9,5,0.0002186510
GreedyRatio,10,1,0.0000035740
BruteForce,10,1,0.0004665090
GreedyRatio,10,2,0.0000036650
BruteForce,10,2,0.0004835630
GreedyRatio,10,3,0.0000035330
BruteForce,10,3,0.0004980240
GreedyRatio,10,4,0.0000038080
BruteForce,10,4,0.0005127790
GreedyRatio,10,5,0.0000036220
BruteForce,10,5,0.0005161020
GreedyRatio,11,1,0.0000040560
BruteForce,11,1,0.0010484220
GreedyRatio,11,2,0.0000038810
BruteForce,11,2,0.0011320510
GreedyRatio,11,3,0.0000096670
BruteForce,11,3,0.0010917230
GreedyRatio,11,4,0.0000040580
BruteForce,11,4,0.0010213940
GreedyRatio,11,5,0.0000037630
BruteForce,11,5,0.0010637050
GreedyRatio,12,1,0.0000039530
BruteForce,12,1,0.0024985440
GreedyRatio,12,2,0.0000090380
BruteForce,12,2,0.0022244170
GreedyRatio,12,3,0.0000048790
BruteForce,12,3,0.0022397160
GreedyRatio,12,4,0.0000045030
BruteForce,12,4,0.0029285810
GreedyRatio,12,5,0.0000122860
BruteForce,12,5,0.0037066250
GreedyRatio,13,1,0.0000098670
BruteForce,13,1,0.0089110550
GreedyRatio,13,2,0.0000143480
BruteForce,13,2,0.0055583330
GreedyRatio,13,3,0.0000100090
BruteForce,13,3,0.0056093430
GreedyRatio,13,4,0.0000084450
BruteForce,13,4,0.0046955030
GreedyRatio,13,5,0.0000061740
BruteForce,13,5,0.0048928240
GreedyRatio,14,1,0.0000062100
BruteForce,14,1,0.0102889310
GreedyRatio,14,2,0.0000050680
BruteForce,14,2,0.0101455540
GreedyRatio,14,3,0.0000078520
BruteForce,14,3,0.0098576410
GreedyRatio,14,4,0.0000051130
BruteForce,14,4,0.0099362920
GreedyRatio,14,5,0.0000044710
BruteForce,14,5,0.0101474120
GreedyRatio,15,1,0.0000101470
BruteForce,15,1,0.0214752420
GreedyRatio,15,2,0.0000094500
BruteForce,15,2,0.0212043200
GreedyRatio,15,3,0.0000096990
BruteForce,15,3,0.0206548260
GreedyRatio,15,4,0.0000091110
BruteForce,15,4,0.0205864150
GreedyRatio,15,5,0.0000093810
BruteForce,15,5,0.0206427610
GreedyRatio,16,1,0.0000090630
BruteForce,16,1,0.0447077570
GreedyRatio,16,2,0.0000106890
BruteForce,16,2,0.0439069480
GreedyRatio,16,3,0.0000099330
BruteForce,16,3,0.0442496210
GreedyRatio,16,4,0.0000105340
BruteForce,16,4,0.0432787160
GreedyRatio,16,5,0.0000102160
BruteForce,16,5,0.0443499370
GreedyRatio,18,1,0.0000101240
BruteForce,18,1,0.2038175140
GreedyRatio,18,2,0.0000104190
BruteForce,18,2,0.1932391960
GreedyRatio,18,3,0.0000106780
BruteForce,18,3,0.1995595210
GreedyRatio,18,4,0.0000101690
BruteForce,18,4,0.2249904760
GreedyRatio,18,5,0.0000099080
BruteForce,18,5,0.1963266340
GreedyRatio,20,1,0.0000113830
BruteForce,20,1,0.8822202800
GreedyRatio,20,2,0.0000110500
BruteForce,20,2,0.8686377070
GreedyRatio,20,3,0.0000109300
BruteForce,20,3,0.8970446110
GreedyRatio,20,4,0.0000105440
BruteForce,20,4,0.8667324730
GreedyRatio,20,5,0.0000110960
BruteForce,20,5,0.8731793230
GreedyRatio,22,1,0.0000106570
BruteForce,22,1,3.8188753450
GreedyRatio,22,2,0.0000108820
BruteForce,22,2,3.8078267170
GreedyRatio,22,3,0.0000183890
BruteForce,22,3,3.7457999490
GreedyRatio,22,4,0.0000121480
BruteForce,22,4,3.7509316300
GreedyRatio,22,5,0.0000106890
BruteForce,22,5,3.7424738760
