Algorithm,Size,Trial,Time_sec
FibRecursive,5,1,0.0000030630
FibRecursive,5,2,0.0000011760
FibRecursive,5,3,0.0000013290
FibRecursive,10,1,0.0000058780
FibRecursive,10,2,0.0000077400
FibRecursive,10,3,0.0000071380
FibRecursive,15,1,0.0000513970
FibRecursive,15,2,0.0000497550
FibRecursive,15,3,0.0000655150
FibRecursive,20,1,0.0005058250
FibRecursive,20,2,0.0005169660
FibRecursive,20,3,0.0005159960
FibRecursive,25,1,0.0058430110
FibRecursive,25,2,0.0058851870
FibRecursive,25,3,0.0061499120
FibRecursive,30,1,0.0691777180
FibRecursive,30,2,0.0672246380
FibRecursive,30,3,0.0673582430
FibRecursive,35,1,0.7367992620
FibRecursive,35,2,0.7257460280
FibRecursive,35,3,0.7396339420
FibMemoized,5,1,0.0000068210
FibMemoized,5,2,0.0000013060
FibMemoized,5,3,0.0000007570
FibMemoized,10,1,0.0000029840
FibMemoized,10,2,0.0000024900
FibMemoized,10,3,0.0000029450
FibMemoized,15,1,0.0000053700
FibMemoized,15,2,0.0000048540
FibMemoized,15,3,0.0000046320
FibMemoized,20,1,0.0000052440
FibMemoized,20,2,0.0000053170
FibMemoized,20,3,0.0000060030
FibMemoized,25,1,0.0000043710
FibMemoized,25,2,0.0000035690
FibMemoized,25,3,0.0000029440
FibMemoized,30,1,0.0000038890
FibMemoized,30,2,0.0000036070
FibMemoized,30,3,0.0000035010
FibMemoized,35,1,0.0000045980
FibMemoized,35,2,0.0000041470
FibMemoized,35,3,0.0000044670
