Algorithm,Size,Trial,Time_sec
TSPBruteForce,4,1,0.0000119030
TSPHeldKarp,4,1,0.0000209590
TSPBruteForce,4,2,0.0000046060
TSPHeldKarp,4,2,0.0000118340
TSPBruteForce,4,3,0.0000036120
TSPHeldKarp,4,3,0.0000090190
TSPBruteForce,5,1,0.0000153140
TSPHeldKarp,5,1,0.0001025630
TSPBruteForce,5,2,0.0000137560
TSPHeldKarp,5,2,0.0000234030
TSPBruteForce,5,3,0.0000106540
TSPHeldKarp,5,3,0.0000218810
TSPBruteForce,6,1,0.0000569730
TSPHeldKarp,6,1,0.0000642980
TSPBruteForce,6,2,0.0000504550
TSPHeldKarp,6,2,0.0000616220
TSPBruteForce,6,3,0.0000529210
TSPHeldKarp,6,3,0.0000599800
TSPBruteForce,7,1,0.0003539290
TSPHeldKarp,7,1,0.0001875190
TSPBruteForce,7,2,0.0003347390
TSPHeldKarp,7,2,0.0001476670
TSPBruteForce,7,3,0.0003472470
TSPHeldKarp,7,3,0.0001629660
TSPBruteForce,8,1,0.0025459830
TSPHeldKarp,8,1,0.0004286720
TSPBruteForce,8,2,0.0025831420
TSPHeldKarp,8,2,0.0003741290
TSPBruteForce,8,3,0.0025054230
TSPHeldKarp,8,3,0.0003917780
TSPBruteForce,9,1,0.0219850740
TSPHeldKarp,9,1,0.0011769160
TSPBruteForce,9,2,0.0219522000
TSPHeldKarp,9,2,0.0010417520
TSPBruteForce,9,3,0.0217772770
TSPHeldKarp,9,3,0.0010356310
TSPBruteForce,10,1,0.2100321620
TSPHeldKarp,10,1,0.0029573380
TSPBruteForce,10,2,0.2118329670
TSPHeldKarp,10,2,0.0027208110
TSPBruteForce,10,3,0.2145075310
TSPHeldKarp,10,3,0.0030685540
TSPBruteForce,11,1,2.2715946640
TSPHeldKarp,11,1,0.0070650940
TSPBruteForce,11,2,2.2351141770
TSPHeldKarp,11,2,0.0071975620
TSPBruteForce,11,3,2.3309942860
TSPHeldKarp,11,3,0.0067402460
